sample_id,article_id,title,asset,task,model,reference,prediction
75,284,"Crypto Prices Today: Why Bitcoin, XRP and Solana Are All Down Before the CLARITY Act Vote",SOL,sentiment_agreement,VADER 3.3.2,bearish,bullish
82,322,Solana Activates Transaction V1 Upgrade to Triple Data Capacity as LiquidChain Presale Nears $1M,SOL,sentiment_agreement,VADER 3.3.2,bullish,neutral
83,361,"BNB Chain Shows Quantum Defense Works, Pays With 40% Throughput Drop",BNB,sentiment_agreement,VADER 3.3.2,neutral,bearish
3,296,"BNB Chain Overtakes Solana in DeFi TVL, Closing In on Ethereum's Lead",SOL,sentiment_agreement,ProsusAI/finbert,bearish,bullish
11,227,Bitcoin ETF Outflows Reach $167M as Ether and Solana ETFs Rebound,BTC,sentiment_agreement,ProsusAI/finbert,bearish,bullish
17,219,"The SEC Cleared XRP , Bitcoin , Ethereum and Solana for Nasdaq Texas Commodity Trusts . What It Does and Does Not Do .",BTC,sentiment_agreement,ProsusAI/finbert,bullish,neutral
17,219,"The SEC Cleared XRP , Bitcoin , Ethereum and Solana for Nasdaq Texas Commodity Trusts . What It Does and Does Not Do .",ETH,sentiment_agreement,ProsusAI/finbert,bullish,neutral
17,219,"The SEC Cleared XRP , Bitcoin , Ethereum and Solana for Nasdaq Texas Commodity Trusts . What It Does and Does Not Do .",SOL,sentiment_agreement,ProsusAI/finbert,bullish,neutral
26,363,Ethereum Wins Institutional Money. BNB Chain Gets Tokenized Stocks.,ETH,sentiment_agreement,ProsusAI/finbert,bullish,neutral
26,363,Ethereum Wins Institutional Money. BNB Chain Gets Tokenized Stocks.,BNB,sentiment_agreement,ProsusAI/finbert,bullish,neutral
42,274,"Treasury firms stack Ethereum, Solana, and Bitcoin through a jittery September market",ETH,sentiment_agreement,ProsusAI/finbert,bullish,bearish
42,274,"Treasury firms stack Ethereum, Solana, and Bitcoin through a jittery September market",SOL,sentiment_agreement,ProsusAI/finbert,bullish,bearish
42,274,"Treasury firms stack Ethereum, Solana, and Bitcoin through a jittery September market",BTC,sentiment_agreement,ProsusAI/finbert,bullish,bearish
44,345,Solana price prediction: SOL defends $100 as bulls eye $107 breakout,SOL,sentiment_agreement,ProsusAI/finbert,bullish,neutral
45,159,Here Why Im Buying Ethereum Right Now,ETH,sentiment_agreement,ProsusAI/finbert,bullish,neutral
56,43,"XRP , Bitcoin , Ethereum and Solana Are All Up More Than 20 % in a Month and Still Down for the Year . Which Recovers First ?",BTC,sentiment_agreement,ProsusAI/finbert,neutral,bearish
56,43,"XRP , Bitcoin , Ethereum and Solana Are All Up More Than 20 % in a Month and Still Down for the Year . Which Recovers First ?",ETH,sentiment_agreement,ProsusAI/finbert,neutral,bearish
56,43,"XRP , Bitcoin , Ethereum and Solana Are All Up More Than 20 % in a Month and Still Down for the Year . Which Recovers First ?",SOL,sentiment_agreement,ProsusAI/finbert,neutral,bearish
62,275,Crypto: Solana triples The Maximum Size of Its Transactions,SOL,sentiment_agreement,ProsusAI/finbert,bullish,neutral
72,290,"Is Solana undervalued? SOL up 35% in Q3, but still trails Ethereum",ETH,sentiment_agreement,ProsusAI/finbert,neutral,bullish
83,361,"BNB Chain Shows Quantum Defense Works, Pays With 40% Throughput Drop",BNB,sentiment_agreement,ProsusAI/finbert,neutral,bullish
89,136,Bitcoin Reversal Risk Grows After Rejection Above $80K,BTC,sentiment_agreement,ProsusAI/finbert,bearish,bullish
