sample_id,article_id,title,published_at,human_relevance,asset,assisted_sentiment,assisted_category,sentiment_score,confidence,reason,provider,model,prompt_version,generated_at
28,94,Ethereum remains stuck in a tight range as US CPI looms . What are the key levels to watch ?,2026-09-09T09:45:00Z,relevant,ETH,neutral,macro,0.0,0.93,Ethereum remains in a tight range while the market awaits US CPI.,openai,gpt-5.6-luna,human-relevance-ai-sentiment-v1,2026-09-15T18:55:34.476985Z
29,318,"Crypto never closes, but Bitcoin, Ethereum, XRP and Solana now move on Wall Street time",2026-09-11T23:49:31Z,relevant,BTC,neutral,exchange_activity,0.0,0.88,The headline describes Bitcoin moving on Wall Street time without indicating a directional move.,openai,gpt-5.6-luna,human-relevance-ai-sentiment-v1,2026-09-15T18:55:34.476985Z
29,318,"Crypto never closes, but Bitcoin, Ethereum, XRP and Solana now move on Wall Street time",2026-09-11T23:49:31Z,relevant,ETH,neutral,exchange_activity,0.0,0.88,The headline describes Ethereum moving on Wall Street time without indicating a directional move.,openai,gpt-5.6-luna,human-relevance-ai-sentiment-v1,2026-09-15T18:55:34.476985Z
29,318,"Crypto never closes, but Bitcoin, Ethereum, XRP and Solana now move on Wall Street time",2026-09-11T23:49:31Z,relevant,SOL,neutral,exchange_activity,0.0,0.88,The headline describes Solana moving on Wall Street time without indicating a directional move.,openai,gpt-5.6-luna,human-relevance-ai-sentiment-v1,2026-09-15T18:55:34.476985Z
35,303,Solana Surges 3.4% on Strong Adoption and Institutional Flows,2026-09-14T21:08:00Z,relevant,SOL,bullish,institutional_adoption,0.85,0.96,Solana surged 3.4% on strong adoption and institutional flows.,openai,gpt-5.6-luna,human-relevance-ai-sentiment-v1,2026-09-15T18:55:34.476985Z
42,274,"Treasury firms stack Ethereum, Solana, and Bitcoin through a jittery September market",2026-09-15T09:26:39Z,relevant,ETH,bullish,institutional_adoption,0.8,0.94,Treasury firms stacked Ethereum.,openai,gpt-5.6-luna,human-relevance-ai-sentiment-v1,2026-09-15T18:55:34.476985Z
42,274,"Treasury firms stack Ethereum, Solana, and Bitcoin through a jittery September market",2026-09-15T09:26:39Z,relevant,SOL,bullish,institutional_adoption,0.8,0.94,Treasury firms stacked Solana.,openai,gpt-5.6-luna,human-relevance-ai-sentiment-v1,2026-09-15T18:55:34.476985Z
42,274,"Treasury firms stack Ethereum, Solana, and Bitcoin through a jittery September market",2026-09-15T09:26:39Z,relevant,BTC,bullish,institutional_adoption,0.8,0.94,Treasury firms stacked Bitcoin.,openai,gpt-5.6-luna,human-relevance-ai-sentiment-v1,2026-09-15T18:55:34.476985Z
44,345,Solana price prediction: SOL defends $100 as bulls eye $107 breakout,2026-09-11T18:30:01Z,relevant,SOL,bullish,market_movement,0.75,0.92,SOL defended $100 as bulls targeted a $107 breakout.,openai,gpt-5.6-luna,human-relevance-ai-sentiment-v1,2026-09-15T18:55:34.476985Z
45,159,Here Why Im Buying Ethereum Right Now,2026-09-09T18:30:00Z,relevant,ETH,bullish,market_movement,0.7,0.9,The headline expresses a decision to buy Ethereum.,openai,gpt-5.6-luna,human-relevance-ai-sentiment-v1,2026-09-15T18:55:34.476985Z
53,271,"Bitcoin, Solana, XRP Tumble Ahead Of CPI – And Retail Traders Aren’t Feeling Bullish",2026-09-11T12:12:43Z,relevant,BTC,bearish,macro,-0.75,0.94,Bitcoin tumbled ahead of CPI.,openai,gpt-5.6-luna,human-relevance-ai-sentiment-v1,2026-09-15T18:55:34.476985Z
53,271,"Bitcoin, Solana, XRP Tumble Ahead Of CPI – And Retail Traders Aren’t Feeling Bullish",2026-09-11T12:12:43Z,relevant,SOL,bearish,macro,-0.75,0.94,Solana tumbled ahead of CPI.,openai,gpt-5.6-luna,human-relevance-ai-sentiment-v1,2026-09-15T18:55:34.476985Z
56,43,"XRP , Bitcoin , Ethereum and Solana Are All Up More Than 20 % in a Month and Still Down for the Year . Which Recovers First ?",2026-09-09T12:30:00Z,relevant,BTC,neutral,market_movement,0.0,0.87,Bitcoin was up more than 20% in a month but still down for the year.,openai,gpt-5.6-luna,human-relevance-ai-sentiment-v1,2026-09-15T18:55:34.476985Z
56,43,"XRP , Bitcoin , Ethereum and Solana Are All Up More Than 20 % in a Month and Still Down for the Year . Which Recovers First ?",2026-09-09T12:30:00Z,relevant,ETH,neutral,market_movement,0.0,0.87,Ethereum was up more than 20% in a month but still down for the year.,openai,gpt-5.6-luna,human-relevance-ai-sentiment-v1,2026-09-15T18:55:34.476985Z
56,43,"XRP , Bitcoin , Ethereum and Solana Are All Up More Than 20 % in a Month and Still Down for the Year . Which Recovers First ?",2026-09-09T12:30:00Z,relevant,SOL,neutral,market_movement,0.0,0.87,Solana was up more than 20% in a month but still down for the year.,openai,gpt-5.6-luna,human-relevance-ai-sentiment-v1,2026-09-15T18:55:34.476985Z
62,275,Crypto: Solana triples The Maximum Size of Its Transactions,2026-09-15T13:05:00Z,relevant,SOL,bullish,technology,0.75,0.93,Solana tripled the maximum size of its transactions.,openai,gpt-5.6-luna,human-relevance-ai-sentiment-v1,2026-09-15T18:55:34.476985Z
63,294,BNB Chain leads 2026 RWA growth with $3.62B,2026-09-13T12:48:07Z,relevant,BNB,bullish,institutional_adoption,0.85,0.95,BNB Chain led 2026 real-world asset growth with $3.62 billion.,openai,gpt-5.6-luna,human-relevance-ai-sentiment-v1,2026-09-15T18:55:34.476985Z
72,290,"Is Solana undervalued? SOL up 35% in Q3, but still trails Ethereum",2026-09-15T13:59:15Z,relevant,SOL,bullish,market_movement,0.7,0.9,SOL was up 35% in Q3.,openai,gpt-5.6-luna,human-relevance-ai-sentiment-v1,2026-09-15T18:55:34.476985Z
72,290,"Is Solana undervalued? SOL up 35% in Q3, but still trails Ethereum",2026-09-15T13:59:15Z,relevant,ETH,neutral,market_movement,0.0,0.78,The headline uses Ethereum as the comparison point for Solana's performance.,openai,gpt-5.6-luna,human-relevance-ai-sentiment-v1,2026-09-15T18:55:34.476985Z
75,284,"Crypto Prices Today: Why Bitcoin, XRP and Solana Are All Down Before the CLARITY Act Vote",2026-09-15T11:00:00Z,relevant,BTC,bearish,regulation,-0.7,0.93,Bitcoin was down before the CLARITY Act vote.,openai,gpt-5.6-luna,human-relevance-ai-sentiment-v1,2026-09-15T18:55:34.476985Z
75,284,"Crypto Prices Today: Why Bitcoin, XRP and Solana Are All Down Before the CLARITY Act Vote",2026-09-15T11:00:00Z,relevant,SOL,bearish,regulation,-0.7,0.93,Solana was down before the CLARITY Act vote.,openai,gpt-5.6-luna,human-relevance-ai-sentiment-v1,2026-09-15T18:55:34.476985Z
77,347,"BNB Chain leads in 2026 RWA growth with $3.6B, but Solana tops in real crypto activity and trading volume.",2026-09-14T06:25:34Z,relevant,BNB,bullish,institutional_adoption,0.8,0.93,BNB Chain leads reported 2026 real-world asset growth with $3.6B.,openai,gpt-5.6-luna,human-relevance-ai-sentiment-v1,2026-09-15T18:55:34.476985Z
77,347,"BNB Chain leads in 2026 RWA growth with $3.6B, but Solana tops in real crypto activity and trading volume.",2026-09-14T06:25:34Z,relevant,SOL,bullish,market_movement,0.65,0.88,Solana tops reported real crypto activity and trading volume.,openai,gpt-5.6-luna,human-relevance-ai-sentiment-v1,2026-09-15T18:55:34.476985Z
78,337,"ETH, SOL, XRP May Gain More Than Bitcoin if US Senate Advances CLARITY Act",2026-09-15T11:33:31Z,relevant,ETH,bullish,regulation,0.7,0.87,The headline says ETH may gain more than Bitcoin if the CLARITY Act advances.,openai,gpt-5.6-luna,human-relevance-ai-sentiment-v1,2026-09-15T18:55:34.476985Z
78,337,"ETH, SOL, XRP May Gain More Than Bitcoin if US Senate Advances CLARITY Act",2026-09-15T11:33:31Z,relevant,SOL,bullish,regulation,0.7,0.87,The headline says SOL may gain more than Bitcoin if the CLARITY Act advances.,openai,gpt-5.6-luna,human-relevance-ai-sentiment-v1,2026-09-15T18:55:34.476985Z
82,322,Solana Activates Transaction V1 Upgrade to Triple Data Capacity as LiquidChain Presale Nears $1M,2026-09-15T14:20:58Z,relevant,SOL,bullish,technology,0.85,0.95,Solana activated an upgrade described as tripling data capacity.,openai,gpt-5.6-luna,human-relevance-ai-sentiment-v1,2026-09-15T18:55:34.476985Z
83,361,"BNB Chain Shows Quantum Defense Works, Pays With 40% Throughput Drop",2026-09-12T20:26:15Z,relevant,BNB,neutral,technology,0.0,0.91,"BNB Chain's quantum defense works, but the headline reports a 40% throughput drop.",openai,gpt-5.6-luna,human-relevance-ai-sentiment-v1,2026-09-15T18:55:34.476985Z
85,356,BNB Chain leads 2026 real-world asset growth wi...,2026-09-13T13:30:02Z,relevant,BNB,bullish,institutional_adoption,0.75,0.86,The headline says BNB Chain leads 2026 real-world asset growth.,openai,gpt-5.6-luna,human-relevance-ai-sentiment-v1,2026-09-15T18:55:34.476985Z
87,355,"Altcoin rally loses steam: Institutional bets fail to save Ethereum, Solana, and Aptos",2026-09-14T05:15:28Z,relevant,ETH,bearish,market_movement,-0.75,0.94,The headline says the altcoin rally is losing steam and institutional bets failed to save Ethereum.,openai,gpt-5.6-luna,human-relevance-ai-sentiment-v1,2026-09-15T18:55:34.476985Z
87,355,"Altcoin rally loses steam: Institutional bets fail to save Ethereum, Solana, and Aptos",2026-09-14T05:15:28Z,relevant,SOL,bearish,market_movement,-0.75,0.94,The headline says the altcoin rally is losing steam and institutional bets failed to save Solana.,openai,gpt-5.6-luna,human-relevance-ai-sentiment-v1,2026-09-15T18:55:34.476985Z
89,136,Bitcoin Reversal Risk Grows After Rejection Above $80K,2026-09-09T04:30:00Z,relevant,BTC,bearish,market_movement,-0.75,0.95,Bitcoin faces growing reversal risk after rejection above $80K.,openai,gpt-5.6-luna,human-relevance-ai-sentiment-v1,2026-09-15T18:55:34.476985Z
